date,FTSEUROFIRST 80,volume
2010-10-21,3732.15,0
2010-10-22,3724.67,0
2010-10-25,3731.19,0
2010-10-26,3709.55,0
2010-10-27,3675.51,0
2010-10-28,3695.79,0
2010-10-29,3693.81,0
2010-11-01,3682.42,0
2010-11-02,3711.46,0
2010-11-03,3676.88,0
2010-11-04,3739.48,0
2010-11-05,3728.94,0
2010-11-08,3718.08,0
2010-11-09,3747.46,0
2010-11-10,3695.94,0
2010-11-11,3677.91,0
2010-11-12,3669.43,0
2010-11-15,3700.98,0
2010-11-16,3620.86,0
2010-11-17,3646.21,0
2010-11-18,3710.47,0
2010-11-19,3702.18,0
2010-11-22,3662.42,0
2010-11-23,3573.35,0
2010-11-24,3600.13,0
2010-11-25,3612.92,0
2010-11-26,3580.14,0
2010-11-29,3495.43,0
2010-11-30,3472.95,0
2010-12-01,3561.21,0
2010-12-02,3634.41,0
2010-12-03,3636.14,0
2010-12-06,3623.18,0
2010-12-07,3663.75,0
2010-12-08,3678.87,0
2010-12-09,3699.28,0
2010-12-10,3701.19,0
2010-12-13,3721.55,0
2010-12-14,3727.5,0
2010-12-15,3702.82,0
2010-12-16,3707.92,0
2010-12-17,3678.9,0
2010-12-20,3702,0
2010-12-21,3749.65,0
2010-12-22,3742.72,0
2010-12-23,3736.98,0
2010-12-24,3733.25,0
2010-12-27,3689.78,0
2010-12-28,3686.99,0
2010-12-29,3707.87,0
2010-12-30,3665.13,0
2010-12-31,3646.87,0
2011-01-03,3705.03,0
2011-01-04,3711.94,0
2011-01-05,3696.41,0
2011-01-06,3700.8,0
2011-01-07,3670.05,0
2011-01-10,3612.72,0
2011-01-11,3660.98,0
2011-01-12,3757.64,0
2011-01-13,3794.78,0
2011-01-14,3796.85,0
2011-01-17,3785.85,0
2011-01-18,3830.51,0
2011-01-19,3801.73,0
2011-01-20,3799.2,0
2011-01-21,3847.65,0
2011-01-24,3857.94,0
2011-01-25,3834.32,0
2011-01-26,3850.63,0
2011-01-27,3871.27,0
2011-01-28,3827.85,0
2011-01-31,3828.47,0
2011-02-01,3892.69,0
2011-02-02,3897.39,0
2011-02-03,3877.15,0
2011-02-04,3886.36,0
2011-02-07,3922.94,0
2011-02-08,3939.19,0
2011-02-09,3929.83,0
2011-02-10,3924.45,0
2011-02-11,3921.93,0
2011-02-14,3915.6,0
2011-02-15,3928.2,0
2011-02-16,3962.75,0
2011-02-17,3964.39,0
2011-02-18,3967.69,0
2011-02-21,3900.8,0
2011-02-22,3867.99,0
2011-02-23,3827.11,0
2011-02-24,3817.91,0
2011-02-25,3865.98,0
2011-02-28,3900.66,0
2011-03-01,3867.48,0
2011-03-02,3836.77,0
2011-03-03,3848.19,0
2011-03-04,3823.09,0
2011-03-07,3802.62,0
2011-03-08,3821.51,0
2011-03-09,3812.33,0
2011-03-10,3777.71,0
2011-03-11,3741.33,0
2011-03-14,3697.69,0
2011-03-15,3608.87,0
2011-03-16,3532.96,0
2011-03-17,3611.37,0
2011-03-18,3620.8,0
2011-03-21,3706.5,0
2011-03-22,3696.46,0
2011-03-23,3714.83,0
2011-03-24,3769.99,0
2011-03-25,3771.13,0
2011-03-28,3773.46,0
2011-03-29,3771.76,0
2011-03-30,3807.88,0
2011-03-31,3776.91,0
2011-04-01,3839.74,0
2011-04-04,3834.89,0
2011-04-05,3830.75,0
2011-04-06,3854.77,0
2011-04-07,3841.18,0
2011-04-08,3863.77,0
2011-04-11,3851.5,0
2011-04-12,3798.93,0
2011-04-13,3822.71,0
2011-04-14,3784.68,0
2011-04-15,3786.31,0
2011-04-18,3698.22,0
2011-04-19,3713.77,0
2011-04-20,3794.48,0
2011-04-21,3808.63,0
2011-04-26,3832.49,0
2011-04-27,3860.26,0
2011-04-28,3896.06,0
2011-04-29,3903.17,0
2011-05-02,3904.55,0
2011-05-03,3891.54,0
2011-05-04,3829.01,0
2011-05-05,3802.09,0
2011-05-06,3838.14,0
2011-05-09,3779.68,0
2011-05-10,3824.56,0
2011-05-11,3832.5,0
2011-05-12,3801.27,0
2011-05-13,3777.99,0
2011-05-16,3761.65,0
2011-05-17,3717.81,0
2011-05-18,3740.88,0
2011-05-19,3772.74,0
2011-05-20,3729.06,0
2011-05-23,3652.32,0
2011-05-24,3662.8,0
2011-05-25,3683.54,0
2011-05-26,3662.04,0
2011-05-27,3687.5,0
2011-05-30,3681.95,0
2011-05-31,3741.27,0
2011-06-01,3698.71,0
2011-06-02,3641.26,0
2011-06-03,3649.09,0
2011-06-06,3622.8,0
2011-06-07,3632.07,0
2011-06-08,3601.25,0
2011-06-09,3635.55,0
2011-06-10,3577.48,0
2011-06-13,3579.42,0
2011-06-14,3635.08,0
2011-06-15,3576.47,0
2011-06-16,3570.62,0
2011-06-17,3613.98,0
2011-06-20,3586.69,0
2011-06-21,3654.29,0
2011-06-22,3646.2,0
2011-06-23,3568.27,0
2011-06-24,3551,0
2011-06-27,3558.62,0
2011-06-28,3593.81,0
2011-06-29,3660.76,0
2011-06-30,3716.1,0
2011-07-01,3747.45,0
2011-07-04,3745.04,0
2011-07-05,3724.08,0
2011-07-06,3696.59,0
2011-07-07,3714.51,0
2011-07-08,3652.68,0
2011-07-11,3551.28,0
2011-07-12,3529.41,0
2011-07-13,3558.19,0
2011-07-14,3530.33,0
2011-07-15,3508.93,0
2011-07-18,3441.86,0
2011-07-19,3483.32,0
2011-07-20,3543.43,0
2011-07-21,3612.41,0
2011-07-22,3627.86,0
2011-07-25,3594.96,0
2011-07-26,3590.16,0
2011-07-27,3534.3,0
2011-07-28,3529.5,0
2011-07-29,3501.86,0
2011-08-01,3409.35,0
2011-08-02,3342.14,0
2011-08-03,3278.96,0
2011-08-04,3165.82,0
2011-08-05,3113.15,0
2011-08-08,2990.83,0
2011-08-09,3004.59,0
2011-08-10,2839.22,0
2011-08-11,2921.81,0
2011-08-12,3040.02,0
2011-08-15,3060.99,0
2011-08-16,3055.48,0
2011-08-17,3064.67,0
2011-08-18,2901.86,0
2011-08-19,2841.67,0
2011-08-22,2871.26,0
2011-08-23,2891.85,0
2011-08-24,2941.45,0
2011-08-25,2912.7,0
2011-08-26,2882.53,0
2011-08-29,2945.67,0
2011-08-30,2948.76,0
2011-08-31,3033.76,0
2011-09-01,3036.93,0
2011-09-02,2932.21,0
2011-09-05,2788.93,0
2011-09-06,2757.48,0
2011-09-07,2852.71,0
2011-09-08,2867.53,0
2011-09-09,2754.94,0
2011-09-12,2657.99,0
2011-09-13,2704.35,0
2011-09-14,2766.66,0
2011-09-15,2856.36,0
2011-09-16,2865.2,0
2011-09-19,2784.23,0
2011-09-20,2842.4,0
2011-09-21,2790.79,0
2011-09-22,2653.72,0
2011-09-23,2685.37,0
2011-09-26,2754.23,0
2011-09-27,2897.25,0
2011-09-28,2872.99,0
2011-09-29,2911.53,0
2011-09-30,2865.26,0
2011-10-03,2812.23,0
2011-10-04,2747.34,0
2011-10-05,2858.06,0
2011-10-06,2947.8,0
2011-10-07,2971.51,0
2011-10-10,3038.36,0
2011-10-11,3030.99,0
2011-10-12,3104.09,0
2011-10-13,3056.79,0
2011-10-14,3087.92,0
2011-10-17,3037.36,0
2011-10-18,3026.16,0
2011-10-19,3051.7,0
2011-10-20,2982.64,0
2011-10-21,3069.63,0
2011-10-24,3110.06,0
2011-10-25,3079.99,0
2011-10-26,3069.03,0
2011-10-27,3245.1,0
2011-10-28,3228.24,0
2011-10-31,3130.36,0
2011-11-01,2972.23,0
2011-11-02,3015.32,0
2011-11-03,3088.09,0
2011-11-04,3021.5,0
2011-11-07,3001.78,0
2011-11-08,3033.68,0
2011-11-09,2963.48,0
2011-11-10,2966,0
2011-11-11,3054.32,0
2011-11-14,3008.41,0
2011-11-15,2965.86,0
2011-11-16,2977.89,0
2011-11-17,2940.86,0
2011-11-18,2929.71,0
2011-11-21,2830.01,0
2011-11-22,2800.33,0
2011-11-23,2751.84,0
2011-11-24,2743.74,0
2011-11-25,2770.97,0
