Name,UK £ TO EURO,JAPANESE YEN TO EURO,SWISS FRANC TO EURO
1991-05-13,1.44233543,0.006008171,0.574217628
1991-05-14,1.440299582,0.006002401,0.57700075
1991-05-15,1.435152628,0.005962674,0.575440212
1991-05-16,1.439884809,0.005983008,0.574052813
1991-05-17,1.440195867,0.006011783,0.573295878
1991-05-20,1.440195867,0.006011783,0.573295878
1991-05-21,1.443293017,0.006046315,0.573591832
1991-05-22,1.444168448,0.006051803,0.573328747
1991-05-23,1.443376346,0.006080506,0.572967398
1991-05-24,1.441441441,0.006008171,0.57123272
1991-05-27,1.436472025,0.005988383,0.571167466
1991-05-28,1.439200956,0.006038283,0.57188608
1991-05-29,1.439076688,0.00600168,0.570060426
1991-05-30,1.433568439,0.006039741,0.570450656
1991-05-31,1.43523502,0.006074596,0.570483199
1991-06-03,1.438041962,0.006132712,0.569605833
1991-06-04,1.43953244,0.006127076,0.568731161
1991-06-05,1.43669904,0.006101281,0.56831098
1991-06-06,1.436781609,0.006107989,0.567375887
1991-06-07,1.435523464,0.00611546,0.567054154
1991-06-10,1.435111436,0.006092731,0.568537154
1991-06-11,1.432028755,0.006085316,0.568569479
1991-06-12,1.431741714,0.006127826,0.568892934
1991-06-13,1.430901754,0.006182762,0.568763508
1991-06-14,1.429408654,0.006215813,0.56831098
1991-06-17,1.425455789,0.006216972,0.567762448
1991-06-18,1.42454201,0.006253909,0.566123188
1991-06-19,1.424339107,0.006268021,0.567086311
1991-06-20,1.427735184,0.006274313,0.568666477
1991-06-21,1.429081815,0.006319914,0.568052715
1991-06-24,1.429081815,0.00628417,0.565323082
1991-06-25,1.425313569,0.006297626,0.564748405
1991-06-26,1.425293254,0.006315524,0.563412023
1991-06-27,1.427796339,0.006318317,0.564429644
1991-06-28,1.430942705,0.006391001,0.565450947
1991-07-01,1.431208942,0.00639959,0.567279328
1991-07-02,1.431270396,0.006420134,0.566957705
1991-07-03,1.430615165,0.006407792,0.563793201
1991-07-04,1.432439014,0.006415603,0.563729635
1991-07-05,1.434555575,0.006440809,0.563380282
1991-07-08,1.43603883,0.0063593,0.564111243
1991-07-09,1.434164671,0.00636821,0.564015792
1991-07-10,1.432644231,0.006395907,0.561104253
1991-07-11,1.430717505,0.006382436,0.561639989
1991-07-12,1.435173225,0.00639468,0.560695262
1991-07-15,1.435873873,0.006372268,0.562113547
1991-07-16,1.440403313,0.006366588,0.560883953
1991-07-17,1.437442502,0.006377551,0.560035842
1991-07-18,1.438414292,0.006310343,0.561955606
1991-07-19,1.436988073,0.006251563,0.560978346
1991-07-22,1.440154385,0.006237525,0.562303194
1991-07-23,1.438104004,0.006266842,0.560883953
1991-07-24,1.434370383,0.006193868,0.560569539
1991-07-25,1.432562137,0.006178179,0.558409649
1991-07-26,1.432521094,0.006148171,0.558347292
1991-07-29,1.430942705,0.00617284,0.557444674
1991-07-30,1.432418495,0.006177797,0.558472021
1991-07-31,1.433486239,0.006177797,0.558565604
1991-08-01,1.433362956,0.006201166,0.558253782
1991-08-02,1.432480053,0.006242977,0.558877773
1991-08-05,1.431946732,0.006165988,0.560067208
1991-08-06,1.43020595,0.006112469,0.558877773
1991-08-07,1.429102238,0.006144771,0.558440833
1991-08-08,1.427266499,0.006137228,0.557351466
1991-08-09,1.427775953,0.006153467,0.557072029
1991-08-12,1.428000228,0.006171316,0.557196189
1991-08-13,1.429000129,0.006175508,0.558752864
1991-08-14,1.430615165,0.006212338,0.55769338
1991-08-15,1.428551021,0.00620155,0.556049822
1991-08-16,1.426716697,0.006238303,0.557724484
1991-08-19,1.439283812,0.006418897,0.56924916
1991-08-20,1.437401179,0.006377551,0.566219353
1991-08-21,1.432726335,0.006298816,0.560663826
1991-08-22,1.428591837,0.006207325,0.5590965
1991-08-23,1.428041013,0.00618047,0.557258289
1991-08-26,1.428979708,0.00622665,0.55869043
1991-08-27,1.430574232,0.00621504,0.558784086
1991-08-28,1.432049262,0.006237525,0.559346683
1991-08-29,1.430144588,0.006183909,0.557227237
1991-08-30,1.430144588,0.006204629,0.557382532
1991-09-02,1.431721215,0.00621311,0.555617291
1991-09-03,1.43258266,0.006206554,0.554262277
1991-09-04,1.433136994,0.006224712,0.555740802
1991-09-05,1.434123535,0.00623558,0.55472347
1991-09-06,1.432439014,0.006204244,0.554231558
1991-09-09,1.434370383,0.006153089,0.554569654
1991-09-10,1.431721215,0.006119577,0.556452062
1991-09-11,1.428918452,0.006134969,0.55766228
1991-09-12,1.426920278,0.00613008,0.556792873
1991-09-13,1.426920278,0.006157635,0.556823877
1991-09-16,1.424501425,0.006137605,0.558284949
1991-09-17,1.421262081,0.006098677,0.559471859
1991-09-18,1.423609134,0.006116956,0.558503211
1991-09-19,1.423467282,0.006122574,0.558253782
1991-09-20,1.427755568,0.006145904,0.559002739
1991-09-23,1.424014582,0.006101654,0.560412464
1991-09-24,1.422819174,0.006159153,0.560632393
1991-09-25,1.424602892,0.006156877,0.560443872
1991-09-26,1.424399972,0.006151575,0.561135739
1991-09-27,1.42431882,0.006153467,0.560852496
1991-09-30,1.422758444,0.006114338,0.560098577
1991-10-01,1.423203917,0.00611733,0.560412464
1991-10-02,1.422596523,0.00613008,0.559503161
1991-10-03,1.423507808,0.006190034,0.558596805
1991-10-04,1.42271796,0.006276282,0.558877773
1991-10-07,1.423669936,0.006335931,0.556916908
1991-10-08,1.420716894,0.0063484,0.556606924
1991-10-09,1.419668082,0.006366994,0.55862801
1991-10-10,1.418822094,0.006360109,0.557942309
1991-10-11,1.421161089,0.00639141,0.55747575
1991-10-14,1.421645982,0.006393044,0.558534406
1991-10-15,1.421848118,0.006428388,0.559002739
1991-10-16,1.421787471,0.00638692,0.558784086
1991-10-17,1.420575617,0.006416014,0.558503211
1991-10-18,1.420999531,0.006351223,0.55869043
1991-10-21,1.420030957,0.00631353,0.558035714
1991-10-22,1.419849496,0.006317119,0.55869043
1991-10-23,1.421019724,0.006337537,0.558596805
1991-10-24,1.420353668,0.006319115,0.557880056
1991-10-25,1.420131788,0.006319914,0.558160304
1991-10-28,1.421282281,0.006315922,0.557134102
1991-10-29,1.42203009,0.006349609,0.556978946
1991-10-30,1.423811829,0.006274707,0.557413601
1991-10-31,1.423649668,0.006239082,0.556513996
1991-11-01,1.420252805,0.006256648,0.556668893
1991-11-04,1.420676526,0.006192717,0.554938957
1991-11-05,1.420777449,0.006189651,0.554785021
1991-11-06,1.420656343,0.006163328,0.553280956
1991-11-07,1.420858198,0.006158773,0.553464689
1991-11-08,1.420212464,0.006195019,0.554262277
1991-11-11,1.420252805,0.00618697,0.553066755
1991-11-12,1.419003292,0.006170935,0.552669393
1991-11-13,1.418942888,0.00616105,0.55175458
1991-11-14,1.418339125,0.006162189,0.551419906
1991-11-15,1.417113057,0.006151953,0.552516714
1991-11-18,1.414167126,0.006085316,0.552394631
1991-11-19,1.409781061,0.006077919,0.552883286
1991-11-20,1.408807867,0.006059872,0.553066755
1991-11-21,1.410337776,0.006068329,0.551998234
1991-11-22,1.400148416,0.006016485,0.552211607
1991-11-25,1.40234753,0.00607755,0.552425146
1991-11-26,1.400599457,0.006086798,0.552791598
1991-11-27,1.40187571,0.006084576,0.554815801
1991-11-28,1.401915016,0.006101281,0.555401277
1991-11-29,1.408589579,0.006154225,0.555987991
1991-12-02,1.402013291,0.006073858,0.554262277
1991-12-03,1.402957434,0.006110602,0.55463117
1991-12-04,1.401895363,0.006094217,0.554385187
1991-12-05,1.400540609,0.006078658,0.554108716
1991-12-06,1.400462153,0.006057302,0.554815801
1991-12-09,1.39774125,0.006035367,0.556854884
