Date,Open,High,Low,Close,Adj Close,Volume
2019-11-06,1.162840,1.163360,1.161000,1.162800,1.162800,0
2019-11-07,1.161210,1.162100,1.155050,1.161300,1.161300,0
2019-11-08,1.159820,1.162790,1.158600,1.159800,1.159800,0
2019-11-11,1.160830,1.167730,1.159800,1.160630,1.160630,0
2019-11-12,1.164660,1.167090,1.161940,1.164730,1.164730,0
2019-11-13,1.166910,1.167600,1.164390,1.166930,1.166930,0
2019-11-14,1.167320,1.170170,1.165130,1.167340,1.167340,0
2019-11-15,1.168840,1.169470,1.166330,1.168790,1.168790,0
2019-11-18,1.168640,1.172980,1.167900,1.168680,1.168680,0
2019-11-19,1.169380,1.171060,1.166300,1.169350,1.169350,0
2019-11-20,1.167010,1.167850,1.165040,1.166930,1.166930,0
2019-11-21,1.166710,1.170010,1.165300,1.166500,1.166500,0
2019-11-22,1.167380,1.167830,1.161900,1.167390,1.167390,0
2019-11-25,1.165780,1.172030,1.164700,1.165760,1.165760,0
2019-11-26,1.171180,1.171810,1.165590,1.171180,1.171180,0
2019-11-27,1.166570,1.172170,1.164900,1.166670,1.166670,0
2019-11-28,1.174780,1.176250,1.172090,1.174850,1.174850,0
2019-11-29,1.172300,1.174260,1.170400,1.172500,1.172500,0
2019-12-02,1.171700,1.174120,1.166270,1.171770,1.171770,0
2019-12-03,1.168040,1.174430,1.167300,1.168070,1.168070,0
2019-12-04,1.172600,1.182620,1.172100,1.172720,1.172720,0
2019-12-05,1.182700,1.186010,1.182400,1.182770,1.182770,0
2019-12-06,1.184870,1.187540,1.181000,1.184810,1.184810,0
2019-12-09,1.188560,1.191180,1.186700,1.188030,1.188030,0
2019-12-10,1.187890,1.190040,1.186000,1.188000,1.188000,0
2019-12-11,1.183610,1.188690,1.183000,1.183650,1.183650,0
2019-12-12,1.185580,1.187200,1.177800,1.185570,1.185570,0
2019-12-13,1.204880,1.207770,1.192450,1.204510,1.204510,0
